article_id	hh	gender	age_range	read_article_ids
ed173d87cf27	17	m	50-	"d6e3c3f0d131,85270a430a54,4364abac22bf"
2f6139c6b61e	6	m	40-44	"04f098ccc312,c353deabeed8,94599f81d773,09f03247a284,79ae710ec999,ab1338b3e97b,64b7f7b84eb6,289dae413375,3c34f0d330c2,8bd822acfcb9,3f9379642f64,914e3b6729d7,ec6d9eae39d2,2dc577fa0fb0,98f1066ef2b7"
bfde563f2df4	9	m	50-	nan
a5e218237de4	7	m	40-44	14a7cb6072af
01e234fed982	8	f	40-44	"bec684f0ace5,83882e5ba8f4,3460807b3aef,ae197ea0bfb9,7e1d6d52bc95,8381a73222ee,e5ae8f44c1d3,34286439a865,544966baf6a4"
8890cb1dfefa	9	f	35-39	"c0902b8dedf8,27125fa3155a,ee92b446dabb,4f075366c421,7fc7911918fd,082967c9deb3,00f5c3431264,596628ba7057,9eb458e27f77,05da0a74fc1a,7af49878fe19,b5008091fd14,507d25484023,2f5d0f6271e7,6c77bcb44aac,18cb4798726a,f2bb18c2a7ea,7588dad715d3,e1822650cf17,a5293f8afe6b,e1f93bc1bdbc,d12c19b3b007,8d13ddf95553,05b3cd63bab3,41a6fc19dbd6,4f7c123d9b89,886376df1bc4,8e0d44caeec1,448a3863b112,3cbf06bf0d71,94ac40e05de9,71137470619f,c19d7f29ebe7,77dc218fd0af,2ad3f89d2cdb,9e5fe6e43067,4837fcbe4b4e,a2abe93c03a3,e73cd501795a,c3eb898bb43c,c2c0315cdcae,70bf0e35e446,7d89e5ff5707,6ea07faabd87,ff9969a958d5,9e16fc18b617,f768e03e8c52,6e6a8df7ff44,c38fd2e7d1d4,25979287625d,c307860d6622,5cce0a3fe426,9c5e104ce68a,bf092e9b5619,1cd0ca3dc069,0fbbe50aa7bf,8c20e2b8ebac,de7103150c5d,e24b2146b2be,915152c7b822,83cebedd8600,a34171d6ea62,06111f44b729,955466b0693c,0483d056ff3b,93d8d28205ca,fc1e3679638e,0090f972188a,e3b51663f04a,b91dc00ea1e9,60e5ca3ed160,915538189441,add105126aa6,020277b860e7,1038e6ad3259,0f1224e168fa,ff6b913deb77,75d8ab617a17,91a504d12f35,2dbeaf37935b,c47ae8535fe0,c19808876610,4478f8ff6f28,acc21f2c4f1e,a82cd953c94d,f56df52d69f8,02553b8ca19c,1fbd02493159,9411498993c8,030475839a68,facb6284bbfb,8ec9229ea165,4dbe694203c6,4630045bc943,aba0385a8a45,c508c07320a4,4c983afe6c12,0de73579e4df,367762d02b49,3d265937d764,32a9ea695e95,308c474e5f2c,c8b32d9563cc,b71829281db2,62b472ec1541,1b25d3b0cc1a,0d8642d683d3,6b08ff04764a,14b954a02762,8ca4dd03e5a4,6b20fd45d088,aaa360720c7a,009829e0c315,9149b652e422,6c795d4a460c,3fcd4e011d1f,78c4ac6514d4,9cce3ae513fb,23b8da5bdaae,3f90c1e8fbb1,18b2ad6900ac,421cd76de696,a6b87aee441a,e2d89cde0cb9,49c7b523ba98,a26763e70282,1339134aff7e,cc687f6afa43,da06696a1301,e38a09e90bb3,82fa6ecb6bd1,2f87ffa651a4,249289a1d710,5393db396b20,5a046927d362,1dd716fab406,66f6dc567c24,26e4e31264cc,a65f75eb1e03,b0d3ed5de5d8,581a705eb968,b1238673ed59,128b07bb2a56,905e934f84ef,d2383e74bf92,b3f118dc2c79,a610efa6fbaa,bf20c20f5758,5eb64c3dbcc5,805a8230527b,2600727e0200,382a11fb4661,53dffa8926a8,c4e920bbc9a4,7dfe83b39e0d,d1cff49b9ad0,a4e4549d0688,2b596989d240,21ab0c7235ba,c85f8f7b1bff,316e86bae50e,5b1c07fd04ed,11d18ed6253a,f03927d72c9a,a5dbfb625cca,af44f3c0f33e,83e72a768ae8,4fcef945a20a,50be6ceef51f,7d61f46abd83,974cdbf2592b,45027630b649,6693da64444c,4c6b63b3c647,c57be523d575,fba95f50f4cc,34c62b8e8b5a,fe48c8205bf5,63b8be6800cf,1e4e91d6d146,c16983a320a3,e1f8ac56d6c4,bde1a5fa9880,fba16cebe2a6,a4f91c10e5d1,436fd85cc7b6,06af4cba54a3,8b7f24e2c6a8,25227973ded9,bbb59214843c,7a2173dedfea,a6796238f7f8,9fbb204e535d,e5102445b684,65df6da2b380,f05246409650,65fdb7fd5739,060b6d5d041b,f0391fe7ab1e,b7c47ad04dff,4a077403785a,8dbcf90fa18b,596e58429537,153c00e560ea,89da7bb54e02,cb8b457dda40,d7453af64734,d4f3957c03b4,da166cc090bc,6455335249b0,4e5b828c23f3,246079ce801f,633dc9babb8d,a23579426699,c161ed27b96e,941e17ce1a54,8b5910ad5451,3b8e309caf97,05a3e37edbc3,20ae22b0984a,52617a72e0d9,6c863542d55a,aa77d7a2bfeb,027dc5405247,26f8dce0cd1d,783ced5cd082,168907e66495,5a9e11b9695e,94b972d2623b,6c2db8540d3a,3fc7890bfb94,abdeb40939c9,2c346ba34ebb,a10c2bd140a2,20ad3e70a0a2,071a09961c74,f953428b943a,2ed52ec7dd7d"
15f3566d639a	0	f	20-24	"052193be12b0,5a8fd9336d01,5545b4b2e830,daca6cb800dc,fe4a0779afa3,7c04b59f1ec5,4275f0e4cf08,851f7aeec877,a21114da32e9,462a5adc8957,79d69554e049,1d8cd1656562,258aa2f73d74,e41a9b2f647f,bb9c426414da,fb1cd4510273,52b3eda8b860,97ff784184f6,34bd56bf9c02,a40719ef66a5,9f058337108f,8200cf91816f,91ceb1dfd4a8,813d02d989f9,8f434b93d222,1e064b2d721b,67c4c34d5c3b,a17d13d2767d,0fdda2c2a8d0,ba83f04bf250,6677ec75adb5,18fff1bde9bd,886b06a1bcb0,e937d212d176,b6542d69a4af,df09c7367445,ae9374376fb7,110f3779acee,672e2c1bb632,8d99c51c5211,6665ea358edd,52e0dabc6dd6,16511aa3df5e,6e9bc53616b8,0e4cb3a3967a,4e023c086e29,d82a73b0c349,55206033b67a,00ac264cf230,47cee25fb369,8372f77a29b3,e3edf403ec9a,bbda0cdceaf0,316566750710,646c192910a1,1b36517b4848,c9a8b45e11c0,bd9d5afae2a2,398c8da6c807,7192e8cf0b2a,2f2226d5e6a0,eada63e07241,a248423dfd83,613c6d4b105e,aeca60840d3f,d2640c3d00e8,bced7ac8e9af,d419fe9710cc,b1d13d8950c9,2489c76a0568,42f258151935,5e0326536cae,c0ab384592cc,5f83ee3da690,88172251cc9d,4ac22b12700d,8b4d325be345,798d0d3d593c,3c7e7910465b,d051881a4ea3,98bf450d07b1,db94bcceb2b4,d7b310882e22,4417dfa0998f,e0be7ba5353d,cfb4f4db8c1d,ec6d9eae39d2,3c8505d17922,4cc5685a5dbb,29b26e40f1a9,372336393278,2120b59a88de,d3e544105c1a,d71a0a5b742e,8ef7d86b1305,acc74bfaa379,c85b32ff0ea0,d62fed0c90ec,cc199bfa3b73"
33d56bfae208	18	f	35-39	"435697ea7f9f,9281d990b453,259330adb53d,5848d5e8c4f8,26d1575c6f73,8a8a30a94be5,c615537eeb54,d0aea8501a11,447a86c4ef1d,a97dd5fdb06c,1e5ee255398c,2e823d7bc70e,33cf3e913e8f,7405c705e90c,a5051f5247c4,084be4f17d57,90adfc45518c,5dc9d66ac54b,2ecef366285d,7f14bbf58bcb,add628f859ab,76ff0da19dab,8199f394fe9c,56cb2e31bf35,cee2c60421df,ec58976fbf5f,00b664438b09,69be88e2a34f,88adc783c79f,5e7e5bf997df,7c18a084e079,cc37f525a019,91c92404b997,c1094c6e5b8f,659ba4cb630b,13444c7280a9,7c2f1df218d4,990702d18637,d51a0b3c02b1,cab358096fb5,d58cd16e7372,4ad50b1b0dae"
99b10e9580c6	19	m	50-	"9b302ff95335,64131ecfa6c6,16af40f0e111,d14953673920,6233817deb15,9865f66a9a93,45e1c5e65c4b,dc446229921b"
feefc86ee1bf	20	m	40-44	nan
80f1d8c0296c	7	f	45-49	"5c1d6e12bf87,5d803f17f01c,3e1427b6ca52,92c785254c7f,0165ef01dfac,795406a6d22e,89558588bb70,d5c2b3f39de8,f1fe36eced4f,c643e298a087,70fe7ce6696d,27b39535636a,1ef5af520303,c248af27aa6f,d480cf85a126,17323bf81e6f,d142e5d35af9,726c2b980725,b1bec0dd39f3,5fd63080f3d7,3e614d4fba75,1bec4487198d,efda824253b7,e46c4ee69318,8e84c3126548,7a36e61962b0,c663d1546f40,16398d2e0fa0,6de444b40a2d,b379c83d1191,666ce92ce080,dd8828129596,783529a8ba15,5026b6143448,0d296cc002df,fb6bad206555,e9cc63ffeb1b,0e94ca503d51,ba4d9c66ad3c,44291f25d49f,8b43d931fc15,1cc276dc9a18,5e39c10394f5,9083724d41dd,b1e8d3d46d23,200e03d6e706,06860c9b7eaa,88adc783c79f,078e2973ca30,7bb14ac8cda2,79cd495c8bd0,c64e43bde18d,f44237c398f9,afe33c9a928c,13af99a9fe3e,28eea2f06529,347e4b63d81f,344cf83e0665,25c15a2818a5,3713e692195a"
bfde563f2df4	13	m	45-49	f38786013cbe
a5d21b02a3ce	9	m	25-29	914e3b6729d7
4a6620e1c32c	14	m	-14	nan
dec374e53bef	8	f	50-	"bd6da2495e02,fcc1bab0ff1d,5a8b50f2d10f,a9efa120addb,61a749c0f378,8c4359759be4,9e999f862e49,e9f1726caae3,002b385ed7a3,dfeeab047f22,8fed5186b4d9,b9dce0086ba0,d7f172fa295b,d331b4cd0608,b58e639944bd,0c10359c8e72,d1cfbdba9fb9,ebe2e4f17e13,9d634ee914a1,a33270bbdb61,cedd0eec8d05,6bcf8f5273fd,6fb87548ced2,800abaf0648c,02c050c28487,d9eebfca1ba8,e3bb357404e1,68f7dd39e3cf,f09c120cb48b,e31ca37a1732,ce9bf271f09f,22445a4a9b08,e1e5ebc670fd,5a9e823d87c7,ccab63118bd7,ade71e75d3e0,6a477e30c1ed,c001d76e5581,8732d5de1d31,83026336a0e8,378544d1d5b0,6bcf2c257b6e,c3124c3e4256,2c1cce234874,c9962fe4ad62,cc199bfa3b73,0deaf34f47b7,5f8af673efbc,46410e342758,b028cee8d885,a47e3a2dd338,8b9e7541e2d5,24f34249cf36,400f601cdde7,1d8439586087,f410e2cac919,0bfe9c73c3b9,ad4cc5ea0c01,58d433780254,0f55870014a8,ba2f644caefb,20a6c5256628,3284ca632689,5955c0ba6c9c,72f3d3997c32,3b5998a293de,d93f6281e71f,06633c2b41fe,ab953a258bd8,2fb47bc23aa1,2f2768793278,86a6333136df,63eefdc2cc7a,866ee0646ce9,06234db2d239,f2ed3fbdd008,5e89a4c1d4f0,5d8d1973ba52,fbd92c1a1d4f,a7d31583d71b,d06ab1626621,f75ce06823bd,915152c7b822,8a67f43be707,75323b7bfb83,bd33eb7d044a,8f97f95e877d,f3b68a7c3335,5f3f1f212130,6814050bf5b3,bcef86487e9a,02d1d852b074,765edae60ea5,50e705bdd94d,01d137596e56,1446d33b2508,bf8a5bf5ae89,833069e0055e,727dbd7376c0,be528a37830d,ab19ecedccb3,8555ca161b47,200095d9df29,81f4b7bcee99,7d16d39b108a,e3b69c29560c,988d0b7606f0,e953b2c791fc,4ca504c56645,dcd64a205192,c9e37eed0771,a66522d68d59,191c7c6e576e,cf134a8c850a,d87c7638b408,ba577c45f124,a2ae57c8a3e7,43dd06451dd9,e421b9392aae,d2a68275a2cf,59b5d7ec3fb3,110f3779acee,40e1291cbdf5,4b4e1d246d24,150184b1131a,5f60a7a3a83e,d84a87216378,70f3349a32dd,7c0ce2a7bd97,1b91d9cc2827,fc16f42c902e,6eded098d14c,7e615a001229,945bcd41fe97,2866be466755,80b42dd65aee,8f71a233bdff,2cc93885a53b,8ea645865ada,072ccb6d1b47,8705fb6f9ffb,6665ea358edd,add628f859ab,49baafab4d06,ee167aac983c,a862bc7c90d7,dd4e981ac1e0,ef8f2ffd288e,6e44ba90bbeb,6636d2b6b5bc,0c15105882f3,222651be5071,5f70dabb6d2f,6c569f9c7800,2156c86c1b11,4b5aabde18d1,848e9fb9b9e5,d72ae9d42026,842ff645c683,a8779096f924,b454f931956a,2e3001530612,16b2b9db5fc7,c2dead744bc5,892259321668,9e627635ec53,a97338e859f0,44cd37173eef,31c06a6b18ee,39670c96d2a0,3bc4fe0b244e,9d80ef00d38c,56bb71b5619c,df3800429569,d5b227754cbd,515bc93abd2f,aa9b4d388857,1356399792b7,a130d34d6b2c,f2e3bf30f658,da98bbdcf1b3,51a307a02dbe,62d421951db4,255074f1810b,07ee07f5aeda,0884bc35cb78,ac6850c13288,dab81a0c16f5,3e0732d7b328,ff0bd7a1cae4,94619577e18a,35471451d9d3,8a6fcd0ff1ee,3960ab49c0a3,8edf93147954,8daac0533273,2b3c63c7c95a,7835be337faf,bc8439b80b12,1084f35eab46,2843f0865a2e,bd9d5afae2a2,b69879b61d13,9392710dabe7,295e7e23e013,8de320dcbe64,2f2226d5e6a0,65ad2d64e0c7,943906e39292,a66492326f06,9a590b7ccb91,c469d303a82b,028f5ed39ba5,10373e800667,4d9f063c3d40,d051881a4ea3,2a5ab7a2e491,3e2d0edf8900,c57388ebc7b3,a87214ee0c9e,d4907745f2bf,2519f1c0e2bc,dc446229921b,bbea883c4619,3c0e54f79dce,b6781bd23754,d3be426af19a,7b9afb4669f4,84b6a742359c,1eb650b95fde,fc0dd2e3c979,7049337211ac,7bb5261163b9,e334a4eedda3,958139ebf09c,d5016f4e2654,15c7c49c7b83,bde1259e5560,a63ce542c1a7,30cfacc42595"
6d42b1067dc9	15	f	40-44	nan
01e234fed982	8	f	45-49	"fc7ad2382bbe,981956b25cdc,a1acd6ccba27,67b63480db51"
38f41bb456e6	7	f	35-39	"87b22507e996,b534a1852186,f5d355dfb923,edffeb6c448d,79f26eaed0b1,43d4db258bee,64db0228662a,3331b5dbc8af,43507664841f,fd59d33f2c58"
a5e218237de4	9	m	50-	nan
63845948aac4	22	f	40-44	"4811c5be8623,ae197ea0bfb9,d072033d6dae,f51e0397f66e,c94ec77a8fcb"
0caeac13b80f	10	f	20-24	nan
d28ceaaccd35	11	f	45-49	"78ee52031ccf,efd0277823b5"
72c6a88c3552	0	f	20-24	b6b899e063e7
8cebb42ffb63	11	f	50-	a1ae7cd8cd22
4127e0857764	13	f	15-19	"8f6eb8588d8e,8ecfe6e40885,3193ac9aee49,72c412b7c705,2eb1bd280215,1bdfacfa70aa"
0e3798b2f06b	12	m	25-29	78ee52031ccf
99b10e9580c6	15	m	45-49	"dcea38db64a1,2b5ccfe09a29,5ea350fb118a,57c9ecfbd00b,b1e5afe8a811,c3d133e011ff,ad7aa3e2bfb6,dff3b8f4db96,7ed3172b4d80,32e606a0ded9,c94ec77a8fcb,6dfd308a2a7b,eb20a0e184a8,798d0d3d593c,9405e73446d8,5cf498e58a3d,267a024c586d"
ea4f4679096b	22	f	50-	"6ddb5160875a,56c8a02271b5,dbff706d9de8,5f7af52ddf9c,a25d94ec4407,fb4fe17ccb4b,00bb566d0b4f,ecc9704022ef,ef6566ddb372,a47d39118c49,f764dae4a78d,d0881c49a8f6,cc7e617c08ae,82d734aeb9f5,258dd4b90ca0,d72d215b0631,a2675bf1aba7,d480cf85a126,6c27e1bad000,a5135e1141a2,247a66ae6315,168083107dbb,e9828f6402f3,edfce2bf6976,447a86c4ef1d,47b803c3936f,9a407ce06b5f,f4ebb2a243ef,0a423036cd92,c0a939dbb502,62a79d981502,a786958e9be6,b5a1722e024c,28a1a5d81bcb,5ea350fb118a,02d0ca260dcf,975fefcb7d11,fce5e640196e,dbd8218f3733,98949fc74e9d,03921543cf8d,db7d1d82d21e,701a1d6daa24,3fe3f15be183,a17ccfe07747,54353aa093f8,8ac43427a8c3,b3295c170c41,dec4375e3066,b0c38d34afbe,e7087767e12c,d0ebabeb19f5,e725fb7d227a,5ddfee056fd0,a46e99f9e8b3,defe63a7086f,b5728c4f91ff,9d65facf2d27,b0375d96e867,2e823d7bc70e,9281d990b453,858cec81ffda,2bf3b6c4e8eb,2de9943a3198,88c12b160843,eca78a4f544b,869441e0e69c,fb2be8f1d30f,20a6c5256628,5bb69402c5a7,a5d309e31623,87c5916884aa,c4efa595da02,060910c49851,de9e1d4326ad,bba408cc5c70,c61321522fb3,31f20de5c7b4,2ecef366285d,3e1c1e86e6cc,2975b085e9dc,73fde74c51f4,ae353edfccfb,47da9d6f5a48,70b897123670,c63717093584,2a485847de56,ff406c1ea506,f13da95babc2,f8cfd6b74942,46c3e1570084,7e5ffbfb4685,af4801518742,7a6501579768,2af86f69d859,afb5aa0b4602,13f23bea1c9d,cc3750a5536c,a2ffb55506ba,e7d580863665,d3d0cbbea3f9,9cce3ae513fb,1ac5dab36633,8850a9e388e7,14febe42b87e,9c7502456b99,57d843fd2cc4,c8b32d9563cc,29b56c96d24e,296b4f3aadda,7c719a18b40b,eadcdb66dd04,d5a4f3013667,a2ceaa0c88a8,906d77692cbd,61a518947ee1,2ee9926f6a71,0b9eafbf4529,2ac4e8deb4c7,04798d690b1e,e7c435d4ecf0,57a76f4f42ea,6636d2b6b5bc,0c15105882f3,26c94698973a,03ce0bd21348,76ff0da19dab,b68556e07a9f,b2cfe31938c5,fc2ff6341cc2,dd53337830a4,69d193dc51c6,ff9cbd89bf30,467c5ab3f409,5ee7e9027e6e,bbf46cc01d05,d40bf1915b45,27a917c247bb,b4c4f725b179,79ae280b6539,af2bbf05ba52,e2d89cde0cb9,16645aaee64a,29078fcbb300,55c64f21165b,92222fa0d9cb,43f7038756bb,7d98aa179caf,69e30d4d8de0,13afbbc33978,308c474e5f2c,2e3001530612,ef12065ba92f,17019f08d556,171be98ca688,e3eb4913a386,64ab5c3861d3,607a1f27bed7,4dfedb0df012,bd5fad3e9eef,ba198db6ba9f,189be4cb48f4,b0df69690909,43b69774bb7e,7842143473ba,7bb444889f77,5434b7a8fb18,b3f118dc2c79,128b07bb2a56,a22f5e071f4f,6b857f7625b0,0ce041a82056,c2e1cb831be3,c9a8b45e11c0,f42019f1948e,d86b52e51848,26dc3d3e3de5,b7816cc074cc,f31ec442b508,063cbabe58d2,bd19c481da26,c728a81404a6,a138e6fc1f24,76714e11499e,e26abd4d311e,3050b44f5b8b,9e6af1cc5b6f,d2383e74bf92,2ff11d528487,3d5fa2bce6d7,52ecbc71c521,4fbfc0d44d11,6d47d9a9d350,cb3408b084b9,6319885f2429,3b700f49cd28,96f7c877f599,807a332f0032,f2bef1b598aa,4d32e160a87a,98770a997297,99e60aa62ff6,ffd92961dd70,8e887c47b344,161c381529e0,44b5297a6ff5,23969fab9da9,c54f0e2842c0,9059e172477a,e434b2e3606c,902fbd1d446d,5f41ccfa18f5,aadfae996755,048dc3475a00,877ddea42848,5d8d55c4aa14,d74d2f0f0c7f,1881981a7609,e1ac36dc8241,30250a671ddf,fbc2f55ffe0f,114adfbe72b9,2fe78edc930a,b5020a7faa31,b9e366264f68,b6626c3b50d4,869bfe7c03e7,94255b780940,9c7224c2f207,153385e1895d,ca3ed2981298,a046473c00e3,711f45750d01,5698ebd490d3,264548a0cd9c,bfe6b4f7a0f3,47aca160436e,b147c7ce067a,071a09961c74,2fbbd68e9a43,5461611acf5d,5a046927d362"
